Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.66     0.00     2548     0.00     0.00  v__ast__Table_does_type_implement_interface
  0.00      0.66     0.00     2548     0.00     0.00  v__checker__Checker_ensure_generic_type_specify_type_names
  0.00      0.66     0.00     2537     0.00     0.00  v__gen__c__Gen_fn_decl_params
  0.00      0.66     0.00     2522     0.00     0.00  v__ast__Table_unaliased_type
  0.00      0.66     0.00     2503     0.00     0.00  strings__Builder_after
  0.00      0.66     0.00     2503     0.00     0.00  v__ast__Scope_has_inherited_vars
  0.00      0.66     0.00     2501     0.00     0.00  v__gen__c__Gen_c_fn_name
  0.00      0.66     0.00     2501     0.00     0.00  v__gen__c__Gen_write_fn_attrs
  0.00      0.66     0.00     2499     0.00     0.00  v__gen__c__Gen_gen_attrs
  0.00      0.66     0.00     2499     0.00     0.00  v__gen__c__Gen_gen_fn_decl
  0.00      0.66     0.00     2499     0.00     0.00  v__util__should_bundle_module
  0.00      0.66     0.00     2493     0.00     0.00  v__markused__Walker_defer_stmts
  0.00      0.66     0.00     2469     0.00     0.00  v__markused__Walker_mark_const_as_used
  0.00      0.66     0.00     2444     0.00     0.00  v__gen__c__Gen_unlock_locks
  0.00      0.66     0.00     2428     0.00     0.00  os__normalize_path_in_builder
  0.00      0.66     0.00     2407     0.00     0.00  v__gen__c__Gen_write_defer_stmts_when_needed
  0.00      0.66     0.00     2406     0.00     0.00  v__parser__Parser_check_for_impure_v
  0.00      0.66     0.00     2398     0.00     0.00  v__parser__Parser_fn_receiver
  0.00      0.66     0.00     2388     0.00     0.00  v__ast__Table_find_method_with_embeds
  0.00      0.66     0.00     2377     0.00     0.00  builtin__array_slice
  0.00      0.66     0.00     2286     0.00     0.00  v__gen__c__Gen_struct_init
  0.00      0.66     0.00     2279     0.00     0.00  v__transformer__Transformer_simplify_nested_interpolation_in_sb
  0.00      0.66     0.00     2254     0.00     0.00  v__checker__Checker_promote_num
  0.00      0.66     0.00     2231     0.00     0.00  v__transformer__Transformer_array_init
  0.00      0.66     0.00     2214     0.00     0.00  os__base
  0.00      0.66     0.00     2208     0.00     0.00  v__gen__c__Gen_infix_expr_cmp_op
  0.00      0.66     0.00     2164     0.00     0.00  v__gen__c__Gen_infix_expr_arithmetic_op
  0.00      0.66     0.00     2151     0.00     0.00  v__ast__Scope_update_var_type
  0.00      0.66     0.00     2109     0.00     0.00  v__gen__c__Gen_infix_expr_is_op
  0.00      0.66     0.00     2078     0.00     0.00  os__is_dir
  0.00      0.66     0.00     2078     0.00     0.00  os__stat
  0.00      0.66     0.00     2029     0.00     0.00  v__checker__Checker_check_num_literal
  0.00      0.66     0.00     2029     0.00     0.00  v__checker__Checker_num_lit_overflow_error
